time,src->dst,small,big,sum
1630550035.175784,8->11,55,13,68
1630550036.002896,11->8,56,13,69
1630550037.643684,16->6,57,13,70
1630550037.9618185,14->7,58,13,71
1630550038.024652,13,57,13,70
1630550038.105436,1->10,58,13,71
1630550038.551222,13,57,13,70
1630550038.6292882,5->3,58,13,71
1630550039.012111,15,57,13,70
1630550039.394258,14->16,58,13,71
1630550040.897202,10->15,59,13,72
1630550041.4053166,6->7,60,13,73
1630550043.0080516,8,60,12,72
1630550043.79862,4->12,61,12,73
1630550045.3544292,11,60,12,72
1630550045.4342246,4,59,12,71
1630550045.4803543,5,58,12,70
1630550045.673562,14->6,59,12,71
1630550045.941513,15->13,60,12,72
1630550046.4182258,5->10,60,13,73
1630550047.782799,6->5,60,14,74
1630550047.797804,9->11,61,14,75
1630550048.6113658,10->16,62,14,76
1630550048.8497236,14,62,13,75
1630550049.4061108,10,61,13,74
1630550050.6001105,11->1,62,13,75
1630550050.7270453,5,62,12,74
1630550051.0588887,4,61,12,73
1630550051.345129,2->5,62,12,74
1630550051.8513887,3,61,12,73
1630550052.074046,15->9,61,13,74
1630550052.3764791,16,60,13,73
1630550053.4753075,2,60,12,72
1630550056.0794847,3->6,61,12,73
1630550056.2550159,8,60,12,72
1630550057.2486262,5,59,12,71
1630550057.3413758,8,58,12,70
1630550057.4999588,9->12,59,12,71
1630550057.740316,3,58,12,70
1630550057.9625545,3->5,59,12,71
1630550058.392402,8->16,60,12,72
1630550059.762995,16->1,61,12,73
1630550060.3841457,11,60,12,72
1630550060.4160545,4->2,61,12,73
1630550060.5426307,14->12,62,12,74
1630550060.5745425,1,61,12,73
1630550063.6399004,15->10,62,12,74
1630550064.005167,11->10,63,12,75
1630550064.3076775,14->7,64,12,76
1630550064.78463,4->14,65,12,77
1630550065.0517323,7->3,65,13,78
1630550065.2262568,10,64,13,77
1630550065.3858354,10,63,13,76
1630550065.7511163,11->5,64,13,77
1630550066.0052533,8->4,65,13,78
1630550066.3077633,11->5,66,13,79
1630550066.83429,7->8,67,13,80
1630550067.1353152,6->4,68,13,81
1630550070.2289221,14,67,13,80
1630550071.0389695,6->1,68,13,81
1630550071.2136517,8->6,69,13,82
1630550071.245603,3,68,13,81
1630550071.483927,10->1,69,13,82
1630550072.7373805,13->4,70,13,83
1630550072.7693026,12->2,71,13,84
1630550073.2154272,16,70,13,83
1630550074.0452087,7,70,12,82
1630550076.53012,11,69,12,81
1630550076.910929,14->16,69,13,82
1630550077.3716996,15->10,70,13,83
1630550077.4514885,10,69,13,82
1630550078.295798,7->6,69,14,83
1630550079.2504761,12,68,14,82
1630550079.9513636,11,67,14,81
1630550079.967324,2,66,14,80
1630550081.5707695,6,65,14,79
1630550081.9684005,5,64,14,78
1630550084.217497,1->6,65,14,79
1630550084.2478411,7->16,66,14,80
1630550084.28075,1->3,66,15,81
1630550085.2048671,12->16,67,15,82
1630550085.3805354,11->3,67,16,83
1630550086.2199423,13->11,67,17,84
1630550086.5214903,3,66,17,83
1630550087.9951289,16,65,17,82
1630550089.1398633,5,64,17,81
1630550089.1538274,5,63,17,80
1630550090.2647293,15,63,16,79
1630550091.658746,13,63,15,78
1630550093.7396603,2,62,15,77
1630550094.8183155,14,61,15,76
1630550095.660112,5->12,62,15,77
1630550096.341468,10,61,15,76
1630550097.8459027,14,60,15,75
1630550097.894374,14,60,14,74
1630550098.514916,11,59,14,73
1630550098.7382932,2,59,13,72
1630550098.7692034,1->12,60,13,73
