1625322835.476418,9.008466482162476,8.305299258354138,0.4617053390747524,1,{0: 0, '3': 18.448961604584596, '4': 8.78278329010413}
1625322835.978745,0,4.152649629177069,0.4701747730829884,1,{'2': 25.565445597992866, '3': 28.12330876170302, '4': 12.347992048074918}
1625322836.4812996,0,2.768433086118046,0.5172774293446982,1,{'2': 12.782722798996433, '3': 18.748872507802012, '4': 8.231994698716612}
1625322836.9838092,0,2.0763248145885345,0.5351480130443735,1,{'2': 8.521815199330955, '3': 14.06165438085151, '4': 6.173996024037459}
1625322837.4995468,0,1.6610598516708275,0.544554480316547,1,{'2': 6.391361399498217, '3': 11.249323504681207, '4': 4.9391968192299665}
1625322838.0050879,0,1.384216543059023,0.5503587793739428,1,{'2': 5.113089119598573, '3': 9.374436253901006, '4': 4.115997349358306}
1625322838.5095532,0,0.0,0.4014617316846524,1,{'2': 4.260907599665478, '3': 6.299609319803573, '4': 2.6522001343409505}
1625322839.0139558,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322839.5157871,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322840.0181909,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322840.5217204,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322841.0244591,0,0.0,0.0,1,{'2': 0.0, '3': 0.6648678175623344, '4': 1.3297644082110902}
1625322841.5283916,0,0.0,0.0,1,{'2': 0.0, '3': 0.6648678175623344, '4': 1.3297644082110902}
1625322842.0314732,0,0.0,0.0,1,{'2': 0.0, '3': 0.6648678175623344, '4': 1.3297644082110902}
1625322842.580692,0,0.0,0.0,1,{'2': 0.0, '3': 0.6648678175623344, '4': 1.3297644082110902}
1625322843.083465,0,0.0,0.0,1,{'2': 0.0, '3': 0.6648678175623344, '4': 1.3297644082110902}
1625322843.5994503,0,0.0,0.0,1,{'2': 0.0, '3': 0.6648678175623344, '4': 1.3297644082110902}
1625322844.1026587,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322844.6063883,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322845.184183,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322845.6905375,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322846.1944044,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322846.6979206,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322847.2008107,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322847.7244387,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322848.2295792,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322848.7346046,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322849.238202,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322849.7415144,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322850.2534392,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322850.7804983,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322851.2844818,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322851.7863984,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322852.2888875,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322852.7912211,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322853.3777502,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322853.8817418,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322854.3854983,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322854.8880901,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322855.3906505,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322855.8931708,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322856.3962803,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322856.8996792,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322857.402043,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322857.9060276,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322858.408785,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322858.913993,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322859.4183834,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322859.9866722,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322860.4984045,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322861.0040336,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322861.5080357,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322862.0094862,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322862.5123932,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
1625322863.018973,0,0.0,0,1,{'2': 0.0, '3': 0.0, '4': 0.0}
