1627976057.9536326,migration switch10,Rate 15.925279181351828, from 4, to 3,1627976051.8013968,6.152238130569458
1627976060.0198207,migration switch9,Rate 15.267359155315276, from 3, to 2,1627976055.9165106,4.103350639343262
1627976061.1141248,migration switch10,Rate 30.365033646037535, from 3, to 1,1627976060.0207288,1.0933988094329834
1627976062.0491524,migration switch12,Rate 25.20004411331572, from 4, to 1,1627976057.953732,4.095423221588135
1627976063.1227436,migration switch14,Rate 35.86234234619141, from 4, to 3,1627976062.053115,1.0696301460266113
1627976064.0019715,migration switch9,Rate 15.282755315816328, from 2, to 3,1627976052.897527,11.104445457458496
1627976065.2202504,migration switch10,Rate 18.266972606528654, from 1, to 3,1627976055.0820749,10.138177871704102
1627976066.218776,migration switch10,Rate 16.934102954538144, from 3, to 4,1627976061.1153018,5.10347580909729
1627976067.3140872,migration switch9,Rate 26.036677288556117, from 3, to 2,1627976066.2191787,1.0949108600616455
1627976068.3480215,migration switch2,Rate 18.0001644938291, from 1, to 2,1627976065.220924,3.127098560333252
1627976069.0993488,migration switch9,Rate 15.094134117562541, from 2, to 3,1627976064.0114677,5.087881565093994
1627976073.4364877,migration switch4,Rate 16.905671409050957, from 3, to 1,1627976067.3148136,6.121676921844482
1627976074.5171523,migration switch9,Rate 16.736396503881615, from 3, to 4,1627976073.4374359,1.0797176361083984
1627976075.5473075,migration switch3,Rate 26.515099630289573, from 1, to 2,1627976068.3481407,7.199167966842651
1627976076.6467018,migration switch12,Rate 31.16616387913014, from 1, to 4,1627976075.5474114,1.0992939472198486
1627976078.369866,migration switch10,Rate 16.928544917999144, from 4, to 3,1627976063.122833,15.247055530548096
1627976079.4637618,migration switch9,Rate 18.67277538802175, from 4, to 1,1627976078.370225,1.093583583831787
1627976083.7415073,migration switch9,Rate 19.239446890989576, from 1, to 2,1627976076.6476,7.093908309936523
1627976084.6299446,migration switch12,Rate 30.52669868420383, from 4, to 2,1627976079.4648805,5.165065288543701
1627976085.3451407,migration switch9,Rate 16.19108287899054, from 2, to 3,1627976069.0994146,16.245728731155396
1627976086.4186442,migration switch3,Rate 22.212796630625252, from 2, to 1,1627976085.349166,1.06947922706604
1627976087.5327508,migration switch2,Rate 23.647253673232928, from 2, to 4,1627976086.4187355,1.1140172481536865
1627976088.8533165,migration switch3,Rate 19.250941912896998, from 1, to 2,1627976083.7416103,5.111709833145142
1627976089.688111,migration switch9,Rate 22.888899067657416, from 3, to 2,1627976074.5176554,15.170458316802979
