1627975846.9183939,0.07156729698181152,0.0,0,0,2,{0: 0, '4': 0},0.0
1627975847.9193633,0.007475852966308594,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975848.920862,0.004374504089355469,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975849.9244046,0.0002639293670654297,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975850.9274118,0,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975851.9297369,0,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975852.932132,0,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975853.9339416,0,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975854.9350111,0,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975855.9369159,0,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975856.9394133,0.0007696151733398438,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975857.9409478,0.0007557868957519531,0.0,0,0,2,{'1': 0, '3': 0, '4': 0},0.0
1627975858.9431448,0.0005800724029541016,0.0,0,-0.5000000000000002,2,{'1': 0, '3': 0, '4': 0.99791438163057},0.99791438163057
1627975859.9454904,0.0003063678741455078,0.0,0,-0.5,2,{'1': 0, '3': 0, '4': 16.979735296522538},16.979735296522538
1627975860.94823,0.0007221698760986328,0.0,0,-0.5,2,{'1': 0, '3': 0, '4': 24.804337830153926},24.804337830153926
1627975861.950092,0.0003066062927246094,0.0,0,-0.4436741073488062,2,{'1': 0, '3': 0.9976836577750651, '4': 34.427717017305724},35.42540067508079
1627975862.951417,0.0006122589111328125,0.0,0,-0.2776937393591854,2,{'1': 0, '3': 0.9976749959155515, '4': 7.978005608307458},8.97568060422301
1627975863.9538257,0.0006563663482666016,0.0,0,-0.14694034692618407,2,{'1': 0, '3': 2.9930797682289203, '4': 13.962014036291103},16.955093804520025
1627975864.9560673,0,0.0,0,-0.14696056920962808,2,{'1': 0, '3': 2.9930698008282053, '4': 13.962938734124553},16.95600853495276
1627975865.9584463,0.0003266334533691406,0.0,0,-0.09991111848795842,2,{'1': 0, '3': 3.9907616063300018, '4': 15.958613598738731},19.949375205068733
1627975866.961041,0.0006108283996582031,17.45635004087019,34.91270008174038,0.20619573709880434,2,{'1': 0, '3': 4.988408994374265, '4': 25.94042161457597},48.38518064982043
1627975867.9662478,0.05347037315368652,36.87028264325484,38.827865204769296,0.5,2,{'1': 0, '3': 32.922978425516476, '4': 31.935782547635764},101.72904361640708
1627975868.9713902,0.09843850135803223,34.17500335894087,29.522141513112437,0.5187011909781671,2,{'1': 0.9973228316874578, '3': 40.580478787990074, '4': 30.905945563182044},106.65875054180044
1627975869.9770348,0.025136470794677734,29.433561676825914,29.34498184053939,0.5343774584792476,2,{'1': 1.995813083651957, '3': 49.098023040163056, '4': 35.5843319164792},116.11172971712014
1627975870.9794905,0.00032329559326171875,30.94026671506414,32.53555158958889,0.6140648578961271,2,{'1': 5.9905619576123526, '3': 29.869781095635034, '4': 38.23720938309873},105.03781915141026
1627975871.9814847,0.000308990478515625,36.207561362608146,39.8795711356274,0.5911715173291994,2,{'1': 4.991268189320612, '3': 29.366042704360915, '4': 38.926958866763776},109.49183112305346
1627975872.9843605,0.0003445148468017578,41.88535625894188,43.891141382256365,0.5724315695379942,2,{'1': 4.657697752054783, '3': 39.161567864840585, '4': 42.90498252080827},128.60960439664552
1627975873.9862435,0.0003685951232910156,49.55639408277078,55.22164678328519,0.5878576836004203,2,{'1': 5.986271980499022, '3': 37.82359360141222, '4': 42.90575970074473},136.27201936542673
1627975874.988048,0.0003540515899658203,62.71343548609272,70.20522418890026,0.6249499949236537,2,{'1': 9.976974749627091, '3': 44.7677690950559, '4': 42.23730134088298},159.6954806716587
1627975875.99111,0.07824873924255371,70.35485799691205,70.50449180492383,0.7223689792806266,2,{'1': 22.265129120770908, '3': 44.748586858496346, '4': 43.57806041046836},180.94663438664767
1627975877.0485637,0.06718945503234863,63.995407291077704,57.48632277723158,0.7094120587199668,2,{'1': 22.5951693542036, '3': 37.26919922630236, '4': 44.91200590083982},168.77178177242348
1627975878.0565403,0.014781951904296875,67.87387227965414,78.26142178207671,0.6288166366503181,2,{'1': 21.277790581913695, '3': 45.06416921152548, '4': 76.78990768226757},211.00573975536088
1627975879.0607352,0.06328725814819336,69.72653501693989,61.19164825180309,0.7713658717836915,2,{'1': 38.9335093494927, '3': 50.554642861517785, '4': 72.81049170323519},232.02517893118556
1627975880.0711646,0.0005452632904052734,62.97136765760104,64.751087063399,0.7897724900472215,2,{'1': 49.90276289483447, '3': 38.90740805092879, '4': 73.11910573397691},224.9006443373412
1627975881.0743437,0.0004990100860595703,63.53046973139229,62.309852399385576,0.7367437129574974,2,{'1': 34.91127781718756, '3': 42.071566150440844, '4': 68.46802571030393},208.98133940932465
1627975882.0767775,0.00029087066650390625,62.489729908215466,62.669607417045356,0.6868377531001124,2,{'1': 22.938940625562264, '3': 41.89221523565079, '4': 61.460687662116285},188.7815734315448
1627975883.0790858,0.0003905296325683594,63.751190663026016,64.83277390900668,0.7055060057029089,2,{'1': 21.43682510444078, '3': 41.55536957196925, '4': 51.829707354933646},178.5730926943697
1627975884.0820146,0.0004024505615234375,64.83571704480215,64.83866018059761,0.697365525096734,2,{'1': 17.615860048826146, '3': 42.88455500382395, '4': 48.17521274357033},173.51134484102258
